Feature,Missing Count,Missing %,Dtype,Sample Value
pitch_type,414,0.04,object,SL
release_speed,417,0.04,Float64,85.4
release_pos_x,416,0.04,Float64,-1.25
release_pos_z,416,0.04,Float64,6.04
zone,416,0.04,Int64,14
game_type,0,0.0,object,R
stand,0,0.0,object,L
p_throws,0,0.0,object,R
type,0,0.0,object,S
hit_location,908207,77.44,Int64,8
bb_type,966439,82.4,object,fly_ball
balls,0,0.0,Int64,0
strikes,0,0.0,Int64,0
pfx_x,549,0.05,Float64,0.06
pfx_z,416,0.04,Float64,-0.09
plate_x,416,0.04,Float64,0.86
plate_z,416,0.04,Float64,1.01
on_3b,1063377,90.67,Int64,457759
on_2b,952811,81.24,Int64,457759
on_1b,815505,69.53,Int64,666163
outs_when_up,0,0.0,Int64,2
hc_x,966515,82.41,Float64,104.07
hc_y,966515,82.41,Float64,76.0
vx0,416,0.04,Float64,4.861116128681594
vy0,416,0.04,Float64,-124.21659976312168
vz0,416,0.04,Float64,-5.341342377960207
ax,416,0.04,Float64,-0.4848205853237511
ay,416,0.04,Float64,27.101369469323032
az,416,0.04,Float64,-32.10198345748955
sz_top,416,0.04,Float64,3.41
sz_bot,416,0.04,Float64,1.64
hit_distance_sc,778398,66.37,Int64,319
launch_speed,780837,66.58,Float64,95.7
launch_angle,780272,66.53,Int64,41
effective_speed,1493,0.13,Float64,85.4
release_spin_rate,4820,0.41,Int64,2675
release_extension,1405,0.12,Float64,6.5
release_pos_y,416,0.04,Float64,53.96
estimated_ba_using_speedangle,967151,82.46,Float64,0.029
estimated_woba_using_speedangle,873240,74.45,Float64,0.042
woba_value,871024,74.27,Float64,0.0
woba_denom,871734,74.33,Int64,1
babip_value,871024,74.27,Int64,0
iso_value,871024,74.27,Int64,0
launch_speed_angle,967151,82.46,Int64,3
at_bat_number,0,0.0,Int64,72
pitch_name,414,0.04,object,Slider
if_fielding_alignment,3214,0.27,object,Infield shade
of_fielding_alignment,3214,0.27,object,Standard
spin_axis,4820,0.41,Int64,53
bat_speed,638806,54.47,Float64,69.4
swing_length,638806,54.47,Float64,7.1
estimated_slg_using_speedangle,967151,82.46,Float64,0.089
hyper_speed,778437,66.37,Float64,95.7
bat_score_diff,0,0.0,Int64,-6
age_pit,0,0.0,Int64,33
age_bat,0,0.0,Int64,34
n_thruorder_pitcher,0,0.0,Int64,1
n_priorpa_thisgame_player_at_bat,0,0.0,Int64,3
pitcher_days_since_prev_game,58749,5.01,Int64,1
batter_days_since_prev_game,12108,1.03,Int64,1
api_break_z_with_gravity,554,0.05,Float64,3.24
api_break_x_arm,549,0.05,Float64,-0.06
api_break_x_batter_in,549,0.05,Float64,0.06
arm_angle,7602,0.65,Float64,33.3
attack_angle,638806,54.47,Float64,4.644951139340256
attack_direction,638806,54.47,Float64,2.230010378535167
swing_path_tilt,638812,54.47,Float64,38.10889022366333
intercept_ball_minus_batter_pos_x_inches,639399,54.52,Float64,37.22422546284092
intercept_ball_minus_batter_pos_y_inches,639399,54.52,Float64,30.459068737642752
